SurrogateId,Period,[Australian dollar ],[Brazilian real ],[Canadian dollar ],[Swiss franc ],[Chinese yuan renminbi ],[Czech koruna ],[Danish krone ],[UK pound sterling ],[Hong Kong dollar ],[Croatian kuna ],[Hungarian forint ],[Indonesian rupiah ],[Israeli shekel ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Korean won ],[Mexican peso ],[Malaysian ringgit ],[Norwegian krone ],[New Zealand dollar ],[Philippine peso ],[Polish zloty ],[Romanian leu ],[Russian rouble ],[Swedish krona ],[Singapore dollar ],[Thai baht ],[Turkish lira ],[US dollar ],[South African rand ],[EU euro ]
760,2017/02/15,1.303742302,3.079583136,1.30828991,1.009189957,6.870772146,25.60018948,7.043581241,0.805286594,7.761534818,7.064708669,292.2027475,13321.62956,3.745807674,66.88820464,0,114.4954998,1141.97063,20.3483657,4.448981525,8.386830886,1.393178588,49.94694458,4.075319754,4.276930365,57.77309332,8.95386073,1.42226433,35.02984368,3.662908574,1,13.04604453,0.947418285
761,2017/02/14,1.30029182,3.095264991,1.303021745,1.003388873,6.8626565,25.43631742,6.999811729,0.801073143,7.758825191,7.016567825,290.0593053,13308.93345,3.744987292,66.81304716,0,113.3672221,1136.806928,20.23731526,4.449119834,8.358279205,1.391320719,49.84655935,4.048950391,4.240892403,57.36693966,8.91019486,1.416172456,34.97505413,3.650569519,1,13.09799492,0.941353667
762,2017/02/13,1.304638254,3.119672594,1.309342365,1.004139618,6.873835732,25.42195879,6.995860382,0.798664032,7.759055414,7.007714743,289.7920783,13320.99915,3.752469658,66.97525637,0,113.7454135,1150.917302,20.34631668,4.44848998,8.37501176,1.39316963,49.91908928,4.058425064,4.235770063,58.02050993,8.917113557,1.42186471,35.07009126,3.685859441,1,13.34170665,0.940822279
763,2017/02/10,1.308213378,3.111299276,1.313858312,1.003763289,6.879292502,25.42195879,6.994449149,0.802427321,7.759243579,7.018063788,290.1966319,13297.99605,3.748235958,66.93338978,0,113.5102079,1150.211685,20.27650767,4.444538527,8.379433625,1.392228808,49.95389971,4.041113934,4.233888418,58.59036598,8.925863204,1.421770628,35.09455264,3.685483112,1,13.34706934,0.940822279
764,2017/02/09,1.306116723,3.117190423,1.310886644,0.998129443,6.866161616,25.27216611,6.953516648,0.795828657,7.758323981,6.986064347,288.7673027,13255.00374,3.748316498,66.74148896,0,112.2708567,1144.014216,20.44322858,4.439019828,8.310886644,1.384493079,49.91488964,4.030677142,4.203610176,58.80377853,8.869715675,1.414609053,35.01028807,3.693041526,1,13.41002619,0.935278713
765,2017/02/08,1.308954524,3.125175809,1.314580403,0.99737459,6.872480075,25.33614627,6.970651664,0.799953118,7.758556024,6.992311299,290.0328176,13324.99766,3.752555087,67.14439756,0,111.9456165,1144.528833,20.5440225,4.439006095,8.329582747,1.368963901,49.91373652,4.04294421,4.209095171,59.24285045,8.862916081,1.416971402,35.02953586,3.723300516,1,13.42353493,0.937646507
766,2017/02/07,1.312786885,3.126744731,1.318220141,0.998407494,6.884028103,25.31241218,6.965152225,0.808711944,7.758594848,6.97704918,290.1264637,13328.49649,3.755035129,67.42201405,0,112.3559719,1147.081967,20.64018735,4.435971897,8.32206089,1.37058548,49.7498829,4.031381733,4.205995316,59.43250585,8.881498829,1.418454333,35.0501171,3.726932084,1,13.43728337,0.93676815
767,2017/02/06,1.307505601,3.118745332,1.305731889,0.996079164,6.861463779,25.22498133,6.942867812,0.802371173,7.758121733,6.953883495,288.6109037,13294.99627,3.747759522,67.16299477,0,112.2852875,1136.295743,20.37126587,4.42699776,8.258028379,1.369678865,49.64525765,3.992438387,4.208831217,58.85026139,8.831684093,1.410194175,35.01960418,3.678491412,1,13.2959298,0.933532487
768,2017/02/03,1.308723583,3.132017503,1.305558142,0.995717345,6.868634205,25.15687552,6.924494926,0.80079136,7.759333395,6.920305372,288.1109766,13344.99581,3.754119728,67.32101294,0,113.1086491,1147.239549,20.49688111,4.427986221,8.245787171,1.376128852,49.77283307,4.00074481,4.204264035,59.22223257,8.790615399,1.413834838,35.05539521,3.735033982,1,13.4263104,0.93101201
769,2017/02/02,1.300888231,3.114267209,1.29996299,0.989082161,6.881661732,25.00185048,6.881754256,0.796336047,7.75934493,6.892579571,285.7605477,13352.49815,3.761195411,67.23168024,0,112.3242043,1141.950407,20.59798298,4.42403775,8.195318283,1.365932642,49.69004441,3.985103627,4.193930422,59.53969282,8.71419319,1.409326425,35.06014064,3.73676906,1,13.39211695,0.925240563
